"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"20568",81294,81294,"2.094180327",124.216797,1.090357334,0.399765564,2.72749189,0.006381783,0.031923818,1.495885178,"Not Sig","Unchanged","Tmod1","Promoter"
"20569",81295,81295,"1.402921997",25.28843756,0.276335617,0.565911184,0.488302095,0.625335878,0.772335673,0.112193905,"Not Sig","Unchanged","Tmod1","Promoter"
"20570",81296,81296,"1.876072171",75.17478083,0.169975457,0.484001734,0.351187702,0.725447536,0.841195678,0.075102968,"Not Sig","Unchanged","Tmod1","Promoter"
"20591",81367,81367,"2.56929304",370.9309229,0.177251756,0.463413233,0.382491789,0.702096618,0.825542178,0.083260733,"Not Sig","Unchanged","Gabbr2","Promoter"
"20592",81368,81368,"2.395775729",248.7572397,0.167410982,0.381550301,0.438765169,0.660831701,0.79774479,0.098136023,"Not Sig","Unchanged","Gabbr2","Promoter"
"20593",81374,81374,"1.842717622",69.61737148,-0.596415431,0.500129086,-1.192522986,0.233056243,0.415192435,0.381750568,"Not Sig","Unchanged","Gabbr2","Promoter"
"20594",81402,81402,"2.411230153",257.768683,1.29367002,0.329434785,3.926938137,8.6e-05,0.001350083,2.869639564,"Not Sig","Unchanged","Gabbr2","Promoter"
"20595",81422,81422,"2.547725823",352.96027,1.002699814,0.379871937,2.63957328,0.008301047,0.038716763,1.412100962,"Not Sig","Unchanged","Gabbr2","Promoter"
"20596",81423,81423,"2.087563903",122.3387118,1.164785891,0.586927289,1.984548876,0.047194685,0.137606456,0.86136119,"Not Sig","Unchanged","Gabbr2","Promoter"
"20597",81424,81424,"2.959489297",910.9390026,2.46318094,0.652914415,3.772593899,0.000161559,0.002161327,2.665279526,"Sig","Up","Gabbr2","Promoter"
"20648",81723,81723,"2.52342131",333.7500273,0.282568136,0.613613395,0.460498644,0.645158344,0.786693224,0.104194591,"Not Sig","Unchanged","Zfp462","Promoter"
"20649",81724,81724,"2.081174341",120.5519781,-0.091577528,0.602885904,-0.151898605,0.879266909,0.935354649,0.029023691,"Not Sig","Unchanged","Zfp462","Promoter"
"20650",81725,81725,"2.000344619",100.0793828,0.823099534,0.59719383,1.378278696,0.168117258,0.333985434,0.476272474,"Not Sig","Unchanged","Zfp462","Promoter"
"20651",81726,81726,"2.223148488",167.1662068,0.341598004,0.548380729,0.62292124,0.53333628,0.702404512,0.153412707,"Not Sig","Unchanged","Zfp462","Promoter"
"20652",81727,81727,"2.693229769",493.4347926,0.406722122,0.548629874,0.741341552,0.458486374,0.64052176,0.193466112,"Not Sig","Unchanged","Zfp462","Promoter"
